memory profiling: GC profiling: line profiling: sample.interval=10000
#File 1: <expr>
:1736642:2040122:100628640:11:"make.names" "data.frame" 1#5 "profvis::profvis" 
:1752934:3048325:103507768:1438:"[<-.data.frame" 1#7 "profvis::profvis" 
:1767797:4728325:105855176:1837:"[<-.data.frame" 1#7 "profvis::profvis" 
:1783283:6458325:108300864:1914:"[<-.data.frame" 1#7 "profvis::profvis" 
:1640853:2350193:92854160:594:"[<-.data.frame" 1#7 "profvis::profvis" 
:1656339:4090193:95299904:1914:"[<-.data.frame" 1#7 "profvis::profvis" 
:1671914:5840193:97759704:1925:"[<-.data.frame" 1#7 "profvis::profvis" 
:1640000:2060193:92475264:1045:"[<-.data.frame" 1#7 "profvis::profvis" 
:1656020:3850193:95005288:1980:"[<-.data.frame" 1#7 "profvis::profvis" 
:1666460:5030193:96655888:1290:"[<-.data.frame" 1#7 "profvis::profvis" 
:1670527:5480193:97296416:503:"[<-.data.frame" 1#7 "profvis::profvis" 
:1681385:6110193:99011248:1342:"<GC>" "[<-.data.frame" 1#7 "profvis::profvis" 
:1654896:3520193:94584056:1705:"[<-.data.frame" 1#7 "profvis::profvis" 
:1670293:5250193:97015744:1903:"[<-.data.frame" 1#7 "profvis::profvis" 
:1683198:6700193:99053864:1595:"<GC>" "[<-.data.frame" 1#7 "profvis::profvis" 
:1655103:3340193:94373552:1496:"[<-.data.frame" 1#7 "profvis::profvis" 
:1670233:5040193:96763072:1870:"[<-.data.frame" 1#7 "profvis::profvis" 
:1683583:6540193:98871472:1650:"[<-.data.frame" 1#7 "profvis::profvis" 
:1650233:2590193:93361744:836:"[<-.data.frame" 1#7 "profvis::profvis" 
:1666431:4410193:95919936:2002:"[<-.data.frame" 1#7 "profvis::profvis" 
:1682896:6260193:98520296:2035:"[<-.data.frame" 1#7 "profvis::profvis" 
:1652212:2610193:93432136:1155:"[<-.data.frame" 1#7 "profvis::profvis" 
:1668588:4450193:96018440:2024:"[<-.data.frame" 1#7 "profvis::profvis" 
:1685142:6310193:98632856:2046:"[<-.data.frame" 1#7 "profvis::profvis" 
:1655696:2800193:93741256:1287:"[<-.data.frame" 1#7 "profvis::profvis" 
:1672517:4690193:96397840:2079:"[<-.data.frame" 1#7 "profvis::profvis" 
:1688537:6500193:98927976:1980:"[<-.data.frame" 1#7 "profvis::profvis" 
:1656951:2740193:93698864:1012:"[<-.data.frame" 1#7 "profvis::profvis" 
:1672081:4440193:96088384:1870:"[<-.data.frame" 1#7 "profvis::profvis" 
:1688012:6230193:98604408:1969:"[<-.data.frame" 1#7 "profvis::profvis" 
:1657935:2650193:93614192:1188:"[<-.data.frame" 1#7 "profvis::profvis" 
:1674133:4470193:96172384:2002:"[<-.data.frame" 1#7 "profvis::profvis" 
:1690598:6320193:98772744:2035:"[<-.data.frame" 1#7 "profvis::profvis" 
:1660428:2730193:93768360:1166:"[<-.data.frame" 1#7 "profvis::profvis" 
:1677160:4610193:96410888:2068:"[<-.data.frame" 1#7 "profvis::profvis" 
:1693803:6480193:99039360:2057:"[<-.data.frame" 1#7 "profvis::profvis" 
:1664163:2950193:94119200:1221:"[<-.data.frame" 1#7 "profvis::profvis" 
:1680984:4840193:96775784:2079:"[<-.data.frame" 1#7 "profvis::profvis" 
:1697449:6690193:99376144:2035:"<GC>" "[<-.data.frame" 1#7 "profvis::profvis" 
:1672789:3720193:95243008:1826:"[<-.data.frame" 1#7 "profvis::profvis" 
:1689610:5610193:97899592:2079:"[<-.data.frame" 1#7 "profvis::profvis" 
:1665120:2660193:93794344:1826:"[<-.data.frame" 1#7 "profvis::profvis" 
:1682030:4570193:96465040:2090:"[<-.data.frame" 1#7 "profvis::profvis" 
:1698851:6450193:99121568:2079:"[<-.data.frame" 1#7 "profvis::profvis" 
:1669996:3010193:94327464:1276:"[<-.data.frame" 1#7 "profvis::profvis" 
:1686817:4900193:96984048:2079:"[<-.data.frame" 1#7 "profvis::profvis" 
:1702659:5630193:99486016:1958:"<GC>" "[<-.data.frame" 1#7 "profvis::profvis" 
:1679318:3860193:95563272:1947:"[<-.data.frame" 1#7 "profvis::profvis" 
:1696139:5750193:98219856:2079:"[<-.data.frame" 1#7 "profvis::profvis" 
:1670124:2640193:93875376:1606:"[<-.data.frame" 1#7 "profvis::profvis" 
:1687034:4530193:96545960:2090:"[<-.data.frame" 1#7 "profvis::profvis" 
:1703766:6410193:99188488:2068:"[<-.data.frame" 1#7 "profvis::profvis" 
:1675077:2990193:94422160:1265:"[<-.data.frame" 1#7 "profvis::profvis" 
:1691987:4890193:97092800:2090:"[<-.data.frame" 1#7 "profvis::profvis" 
:1707918:5570193:99608824:1969:"<GC>" "[<-.data.frame" 1#7 "profvis::profvis" 
:1685010:3910193:95756024:1969:"[<-.data.frame" 1#7 "profvis::profvis" 
:1701742:5790193:98398552:2068:"[<-.data.frame" 1#7 "profvis::profvis" 
:1677313:2850193:94306576:1760:"[<-.data.frame" 1#7 "profvis::profvis" 
:1694134:4740193:96963160:2079:"[<-.data.frame" 1#7 "profvis::profvis" 
:1711311:6670193:99675968:2123:"<GC>" "[<-.data.frame" 1#7 "profvis::profvis" 
:1685543:3580193:95373040:1584:"[<-.data.frame" 1#7 "profvis::profvis" 
:1702275:5460193:98015568:2068:"[<-.data.frame" 1#7 "profvis::profvis" 
:1713044:6640193:99716344:1331:"<GC>" "[<-.data.frame" 1#7 "profvis::profvis" 
:1613916:3540193:95032728:1749:"[<-.data.frame" 1#7 "profvis::profvis" 
:1685924:4630193:117025160:10105:"as.matrix.data.frame" "t.data.frame" "profvis::profvis" 
